Statistical Population,True Prevalence,New Clinical Cases,Infectious Vectors,Rainfall,Air Temperature,Time,Day,Year,date,Run_Number
1997,0.9474211335182,6,0.2140795886517,0.3078307509422,31.61866378784,149,149,2022,2022-05-29,0
1996,0.9483968019485,3,0.2169506400824,0.1381588578224,31.89635276794,150,150,2022,2022-05-30,0
1995,0.9503759145737,10,0.2272159308195,0.01182880345732,32.76219177246,151,151,2022,2022-05-31,0
1995,0.9518796801567,6,0.2095184922218,8.475092887878,28.84567451477,152,152,2022,2022-06-01,0
1995,0.9528822302818,6,0.2074394673109,0.6483444571495,29.63910675049,153,153,2022,2022-06-02,0
1995,0.9538847208023,2,0.2264546900988,1.325570940971,29.31982803345,154,154,2022,2022-06-03,0
1995,0.9538847208023,7,0.2279611676931,0.002211119281128,31.40307617188,155,155,2022,2022-06-04,0
1995,0.9553884863853,3,0.2283967584372,0.3909668326378,32.49055480957,156,156,2022,2022-06-05,0
1995,0.9568922519684,8,0.2105932533741,0.4011360704899,28.90247535706,157,157,2022,2022-06-06,0
1994,0.9578736424446,5,0.2031202614307,1.854671001434,30.14396858215,158,158,2022,2022-06-07,0
1995,0.9588972330093,3,0.202463760972,0.4635822176933,31.34188079834,159,159,2022,2022-06-08,0
1995,0.962406039238,0,0.2175191044807,1.617488384247,31.20872306824,160,160,2022,2022-06-09,0
1995,0.9629072546959,3,0.1996708065271,4.059504032135,28.38627433777,161,161,2022,2022-06-10,0
1995,0.9629072546959,7,0.1967186331749,0.295696824789,29.02616119385,162,162,2022,2022-06-11,0
1996,0.9639278650284,3,0.1835379749537,0.5019584298134,29.60564994812,163,163,2022,2022-06-12,0
1996,0.9644288420677,7,0.1780801713467,1.95004594326,30.91345596313,164,164,2022,2022-06-13,0
1996,0.965430855751,2,0.1764249354601,0.8467770218849,28.70240974426,165,165,2022,2022-06-14,0
1996,0.9669338464737,1,0.1612316220999,0.1182259246707,29.14879417419,166,166,2022,2022-06-15,0
1996,0.9694388508797,6,0.1584354937077,0.7533583045006,29.62194824219,167,167,2022,2022-06-16,0
1996,0.9694388508797,4,0.1616095900536,0.495580881834,30.81211280823,168,168,2022,2022-06-17,0
1996,0.970440864563,5,0.152753457427,0.9338834285736,27.45719528198,169,169,2022,2022-06-18,0
1996,0.9714428782463,11,0.148166000843,0.9118962287903,29.63220787048,170,170,2022,2022-06-19,0
1997,0.9714571833611,6,0.1411319673061,8.998018264771,29.6192855835,171,171,2022,2022-06-20,0
1997,0.9724586606026,3,0.1300500333309,13.36383056641,27.29517555237,172,172,2022,2022-06-21,0
1997,0.9724586606026,6,0.1247071698308,3.188803911209,27.97616958618,173,173,2022,2022-06-22,0
1997,0.972959458828,5,0.118497684598,0.05443279445171,28.06617736816,174,174,2022,2022-06-23,0
1997,0.9734601974487,5,0.1100437641144,0.3032627701759,29.14351081848,175,175,2022,2022-06-24,0
1997,0.9739609360695,8,0.1140233501792,3.006827831268,28.47184753418,176,176,2022,2022-06-25,0
1997,0.9744616746902,7,0.1086451485753,6.232498168945,28.2781791687,177,177,2022,2022-06-26,0
1997,0.9749624729156,5,0.1033571362495,3.233152627945,27.57656860352,178,178,2022,2022-06-27,0
1998,0.9739739894867,8,0.09745212644339,2.140086650848,27.49376678467,179,179,2022,2022-06-28,0
1998,0.9739739894867,7,0.09330540150404,0.5414580106735,27.9365196228,180,180,2022,2022-06-29,0
1998,0.9739739894867,1,0.08992579579353,0.1469006538391,28.66683769226,181,181,2022,2022-06-30,0
1997,0.9739609360695,5,0.08589241653681,2.471981287003,28.88759040833,182,182,2022,2022-07-01,0
1997,0.9754632115364,7,0.08165673166513,0.5870611071587,27.91218757629,183,183,2022,2022-07-02,0
1997,0.9754632115364,6,0.07717049866915,0.5168986320496,29.38810157776,184,184,2022,2022-07-03,0
1997,0.9754632115364,6,0.07393526285887,0.9288029670715,27.12463378906,185,185,2022,2022-07-04,0
1998,0.9749749898911,7,0.06570785492659,5.337920188904,28.84946632385,186,186,2022,2022-07-05,0
1998,0.9749749898911,4,0.05919935554266,0.7442551255226,29.38743591309,187,187,2022,2022-07-06,0
1999,0.9744872450829,7,0.05556931346655,9.772059440613,27.12957000732,188,188,2022,2022-07-07,0
1999,0.9744872450829,7,0.05422624200583,28.40305709839,26.00463294983,189,189,2022,2022-07-08,0
1999,0.9739869832993,7,0.05215275287628,0.9456225633621,26.7822303772,190,190,2022,2022-07-09,0
2000,0.9739999771118,4,0.05185390636325,0.1388777345419,28.2310295105,191,191,2022,2022-07-10,0
2000,0.9739999771118,6,0.04977827891707,0.5777182579041,26.96444511414,192,192,2022,2022-07-11,0
2000,0.9745000004768,5,0.04694027081132,0.9999979138374,26.25198554993,193,193,2022,2022-07-12,0
2002,0.9725274443626,5,0.04592998698354,0.6056565642357,26.71850204468,194,194,2022,2022-07-13,0
2001,0.9730135202408,6,0.04464297369123,7.087329864502,26.09902572632,195,195,2022,2022-07-14,0
2001,0.9730135202408,6,0.04404731094837,0.2115016281605,28.35308456421,196,196,2022,2022-07-15,0
2001,0.9720140099525,6,0.04101647809148,0.6256245970726,25.01439285278,197,197,2022,2022-07-16,0
2001,0.9720140099525,10,0.03980664536357,0.01166069228202,26.65167999268,198,198,2022,2022-07-17,0
2001,0.9720140099525,2,0.04546359926462,9.292887687683,27.62839317322,199,199,2022,2022-07-18,0
2000,0.972000002861,5,0.04463205114007,20.90457725525,26.72839546204,200,200,2022,2022-07-19,0
2000,0.9710000157356,2,0.04394801333547,1.889995455742,28.38191413879,201,201,2022,2022-07-20,0
2000,0.9710000157356,9,0.04213966056705,0.9340079426765,28.01661300659,202,202,2022,2022-07-21,0
2000,0.9710000157356,5,0.0414710380137,0.2596816718578,27.47959709167,203,203,2022,2022-07-22,0
2001,0.9700149893761,5,0.04263997077942,10.21367835999,27.12154579163,204,204,2022,2022-07-23,0
2000,0.9700000286102,4,0.04047152400017,3.407059669495,25.23426437378,205,205,2022,2022-07-24,0
1999,0.9694847464561,5,0.03690046072006,2.491248846054,26.98673629761,206,206,2022,2022-07-25,0
1999,0.9694847464561,6,0.0385650806129,0.003996779210865,28.17502212524,207,207,2022,2022-07-26,0
1999,0.9694847464561,4,0.03854083269835,23.38561058044,26.65477371216,208,208,2022,2022-07-27,0
2000,0.9689999818802,8,0.04011740535498,17.26066970825,26.25901985168,209,209,2022,2022-07-28,0
2000,0.9674999713898,6,0.04050397872925,4.545873641968,27.48167037964,210,210,2022,2022-07-29,0
2000,0.9679999947548,2,0.04058550298214,1.828052401543,26.62770462036,211,211,2022,2022-07-30,0
2000,0.9679999947548,9,0.03987401351333,0.5004903674126,27.84303855896,212,212,2022,2022-07-31,0
1999,0.9669834971428,5,0.04054763540626,0.1500600427389,26.05699157715,213,213,2022,2022-08-01,0
2001,0.9665167331696,4,0.041564039886,4.31686258316,27.79300689697,214,214,2022,2022-08-02,0
2001,0.9665167331696,5,0.04188524186611,0.07792919129133,27.8806552887,215,215,2022,2022-08-03,0
2001,0.9675162434578,10,0.04108903184533,1.766105294228,26.14559173584,216,216,2022,2022-08-04,0
2001,0.9675162434578,10,0.03850627318025,2.475058555603,26.11076545715,217,217,2022,2022-08-05,0
2002,0.9665334820747,6,0.03609449788928,11.30355167389,25.23212432861,218,218,2022,2022-08-06,0
2003,0.965551674366,11,0.03662060201168,0.4730810821056,26.23081970215,219,219,2022,2022-08-07,0
2005,0.9640897512436,6,0.03741732239723,0.4988115131855,27.57059860229,220,220,2022,2022-08-08,0
2004,0.9640718698502,9,0.04174381494522,1.49835050106,28.2132434845,221,221,2022,2022-08-09,0
2003,0.9640539288521,6,0.04300166666508,3.851663351059,27.48465538025,222,222,2022,2022-08-10,0
2003,0.9645531773567,9,0.04539966210723,6.421413421631,25.56839370728,223,223,2022,2022-08-11,0
2003,0.9645531773567,9,0.04233657568693,3.994073629379,26.12159538269,224,224,2022,2022-08-12,0
2003,0.9645531773567,14,0.03964967653155,11.6827545166,26.76660346985,225,225,2022,2022-08-13,0
2002,0.9645354747772,14,0.03974877297878,3.672590970993,25.61644172668,226,226,2022,2022-08-14,0
2002,0.9650349617004,18,0.04110182821751,3.825919628143,25.6800403595,227,227,2022,2022-08-15,0
2002,0.9655344486237,12,0.04230286553502,5.126711368561,24.59673881531,228,228,2022,2022-08-16,0
2002,0.9655344486237,19,0.04448860883713,6.695645809174,25.0971031189,229,229,2022,2022-08-17,0
2001,0.9660170078278,5,0.04830541834235,5.983721733093,25.27639007568,230,230,2022,2022-08-18,0
2001,0.9645177125931,14,0.04842846468091,2.448996782303,26.75778579712,231,231,2022,2022-08-19,0
2002,0.9655344486237,13,0.0441735573113,34.77613830566,23.82857513428,232,232,2022,2022-08-20,0
2002,0.9645354747772,13,0.04546277970076,1.962295174599,25.89959526062,233,233,2022,2022-08-21,0
2002,0.9635364413261,12,0.04675144702196,3.625088214874,26.39093017578,234,234,2022,2022-08-22,0
2003,0.9630554318428,14,0.04723361507058,7.846294403076,27.37133979797,235,235,2022,2022-08-23,0
2003,0.9625561833382,17,0.0462435297668,9.98411655426,24.75525093079,236,236,2022,2022-08-24,0
2003,0.9600598812103,16,0.04653258621693,0.2078889906406,27.02026557922,237,237,2022,2022-08-25,0
2004,0.9585828185081,16,0.053686670959,5.071590423584,26.88813400269,238,238,2022,2022-08-26,0
2006,0.958624124527,18,0.05478132516146,2.605398654938,27.25330162048,239,239,2022,2022-08-27,0
2006,0.9561315774918,24,0.05539383739233,4.663443565369,26.75002861023,240,240,2022,2022-08-28,0
2008,0.9551792740822,22,0.05364367738366,1.75948882103,25.45732688904,241,241,2022,2022-08-29,0
2008,0.952689230442,15,0.05239144712687,1.241856455803,27.33819007874,242,242,2022,2022-08-30,0
2007,0.9526656866074,13,0.05158702656627,2.447243928909,27.3964881897,243,243,2022,2022-08-31,0
2006,0.9521435499191,20,0.05258599668741,5.640660762787,26.13261604309,244,244,2022,2022-09-01,0
2006,0.951146543026,14,0.05187280103564,0.580562710762,27.70461463928,245,245,2022,2022-09-02,0
2006,0.9521435499191,24,0.0576448366046,0.9138791561127,27.8727684021,246,246,2022,2022-09-03,0
2006,0.9521435499191,16,0.05354078859091,3.279820203781,27.40204811096,247,247,2022,2022-09-04,0
2006,0.952642083168,15,0.05464817583561,1.235261082649,28.09468841553,248,248,2022,2022-09-05,0
2007,0.9506726264954,17,0.05072615295649,1.674265503883,26.81397438049,249,249,2022,2022-09-06,0
2007,0.9516691565514,21,0.05299181863666,1.122684717178,25.61301231384,250,250,2022,2022-09-07,0
2007,0.9501743912697,18,0.05498795211315,2.695081472397,26.79581832886,251,251,2022,2022-09-08,0
2007,0.9491778612137,17,0.05760654062033,0.04568746685982,28.38979530334,252,252,2022,2022-09-09,0
2006,0.9501495361328,19,0.05917926505208,1.21867120266,28.6457824707,253,253,2022,2022-09-10,0
2006,0.9481555223465,21,0.06322015076876,0.8558040261269,27.28959655762,254,254,2022,2022-09-11,0
2006,0.9486540555954,21,0.06517630815506,0.643164396286,27.35715866089,255,255,2022,2022-09-12,0
